Country Code,Year,literacy_rate
AFG,1960,N/A
AGO,1960,N/A
ALB,1960,N/A
ARE,1960,N/A
ARG,1960,N/A
ARM,1960,N/A
ASM,1960,N/A
ATG,1960,N/A
AUS,1960,N/A
AUT,1960,N/A
AZE,1960,N/A
BDI,1960,N/A
BEL,1960,N/A
BEN,1960,N/A
BFA,1960,N/A
BGD,1960,N/A
BGR,1960,N/A
BHR,1960,N/A
BHS,1960,N/A
BIH,1960,N/A
BLR,1960,N/A
BLZ,1960,N/A
BMU,1960,N/A
BOL,1960,N/A
BRA,1960,N/A
BRB,1960,N/A
BRN,1960,N/A
BTN,1960,N/A
BWA,1960,N/A
CAF,1960,N/A
CAN,1960,N/A
CHE,1960,N/A
CHL,1960,N/A
CHN,1960,N/A
CIV,1960,N/A
CMR,1960,N/A
COD,1960,N/A
COG,1960,N/A
COL,1960,N/A
COM,1960,N/A
CPV,1960,N/A
CRI,1960,N/A
CUB,1960,N/A
CYM,1960,N/A
CYP,1960,N/A
CZE,1960,N/A
DEU,1960,N/A
DJI,1960,N/A
DMA,1960,N/A
DNK,1960,N/A
DOM,1960,N/A
DZA,1960,N/A
ECU,1960,N/A
EGY,1960,N/A
ERI,1960,N/A
ESP,1960,N/A
EST,1960,N/A
ETH,1960,N/A
FIN,1960,N/A
FJI,1960,N/A
FRA,1960,N/A
FSM,1960,N/A
GAB,1960,N/A
GBR,1960,N/A
GEO,1960,N/A
GHA,1960,N/A
GIN,1960,N/A
GMB,1960,N/A
GNB,1960,N/A
GNQ,1960,N/A
GRC,1960,N/A
GRD,1960,N/A
GTM,1960,N/A
GUM,1960,N/A
GUY,1960,N/A
HKG,1960,N/A
HND,1960,N/A
HRV,1960,N/A
HTI,1960,N/A
HUN,1960,N/A
IDN,1960,N/A
IND,1960,N/A
IRL,1960,N/A
IRN,1960,N/A
IRQ,1960,N/A
ISL,1960,N/A
ISR,1960,N/A
ITA,1960,N/A
JAM,1960,N/A
JOR,1960,N/A
JPN,1960,N/A
KAZ,1960,N/A
KEN,1960,N/A
KGZ,1960,N/A
KHM,1960,N/A
KIR,1960,N/A
KNA,1960,N/A
KOR,1960,N/A
KWT,1960,N/A
LAO,1960,N/A
LBN,1960,N/A
LBR,1960,N/A
LBY,1960,N/A
LCA,1960,N/A
LIE,1960,N/A
LKA,1960,N/A
LSO,1960,N/A
LTU,1960,N/A
LUX,1960,N/A
LVA,1960,N/A
MAC,1960,N/A
MAF,1960,N/A
MAR,1960,N/A
MDA,1960,N/A
MDG,1960,N/A
MDV,1960,N/A
MEX,1960,N/A
MHL,1960,N/A
MKD,1960,N/A
MLI,1960,N/A
MLT,1960,N/A
MMR,1960,N/A
MNE,1960,N/A
MNG,1960,N/A
MNP,1960,N/A
MOZ,1960,N/A
MRT,1960,N/A
MUS,1960,N/A
MWI,1960,N/A
MYS,1960,N/A
NAM,1960,N/A
NCL,1960,N/A
NER,1960,N/A
NGA,1960,N/A
NIC,1960,N/A
NLD,1960,N/A
NOR,1960,N/A
NPL,1960,N/A
NZL,1960,N/A
OMN,1960,N/A
PAK,1960,N/A
PAN,1960,N/A
PER,1960,N/A
PHL,1960,N/A
PLW,1960,N/A
PNG,1960,N/A
POL,1960,N/A
PRI,1960,N/A
PRK,1960,N/A
PRT,1960,N/A
PRY,1960,N/A
PSE,1960,N/A
PYF,1960,N/A
QAT,1960,N/A
ROU,1960,N/A
RUS,1960,N/A
RWA,1960,N/A
SAU,1960,N/A
SDN,1960,N/A
SEN,1960,N/A
SGP,1960,N/A
SLB,1960,N/A
SLE,1960,N/A
SLV,1960,N/A
SOM,1960,N/A
SRB,1960,N/A
SSD,1960,N/A
STP,1960,N/A
SUR,1960,N/A
SVK,1960,N/A
SVN,1960,N/A
SWE,1960,N/A
SWZ,1960,N/A
SXM,1960,N/A
SYC,1960,N/A
SYR,1960,N/A
TCA,1960,N/A
TCD,1960,N/A
TGO,1960,N/A
THA,1960,N/A
TJK,1960,N/A
TKM,1960,N/A
TLS,1960,N/A
TON,1960,N/A
TTO,1960,N/A
TUN,1960,N/A
TUR,1960,N/A
TUV,1960,N/A
TZA,1960,N/A
UGA,1960,N/A
UKR,1960,N/A
URY,1960,N/A
USA,1960,N/A
UZB,1960,N/A
VCT,1960,N/A
VEN,1960,N/A
VGB,1960,N/A
VIR,1960,N/A
VNM,1960,N/A
VUT,1960,N/A
WSM,1960,N/A
YEM,1960,N/A
ZAF,1960,N/A
ZMB,1960,N/A
ZWE,1960,N/A
AFG,1961,N/A
AGO,1961,N/A
ALB,1961,N/A
ARE,1961,N/A
ARG,1961,N/A
ARM,1961,N/A
ASM,1961,N/A
ATG,1961,N/A
AUS,1961,N/A
AUT,1961,N/A
AZE,1961,N/A
BDI,1961,N/A
BEL,1961,N/A
BEN,1961,N/A
BFA,1961,N/A
BGD,1961,N/A
BGR,1961,N/A
BHR,1961,N/A
BHS,1961,N/A
BIH,1961,N/A
BLR,1961,N/A
BLZ,1961,N/A
BMU,1961,N/A
BOL,1961,N/A
BRA,1961,N/A
BRB,1961,N/A
BRN,1961,N/A
BTN,1961,N/A
BWA,1961,N/A
CAF,1961,N/A
CAN,1961,N/A
CHE,1961,N/A
CHL,1961,N/A
CHN,1961,N/A
CIV,1961,N/A
CMR,1961,N/A
COD,1961,N/A
COG,1961,N/A
COL,1961,N/A
COM,1961,N/A
CPV,1961,N/A
CRI,1961,N/A
CUB,1961,N/A
CYM,1961,N/A
CYP,1961,N/A
CZE,1961,N/A
DEU,1961,N/A
DJI,1961,N/A
DMA,1961,N/A
DNK,1961,N/A
DOM,1961,N/A
DZA,1961,N/A
ECU,1961,N/A
EGY,1961,N/A
ERI,1961,N/A
ESP,1961,N/A
EST,1961,N/A
ETH,1961,N/A
FIN,1961,N/A
FJI,1961,N/A
FRA,1961,N/A
FSM,1961,N/A
GAB,1961,N/A
GBR,1961,N/A
GEO,1961,N/A
GHA,1961,N/A
GIN,1961,N/A
GMB,1961,N/A
GNB,1961,N/A
GNQ,1961,N/A
GRC,1961,N/A
GRD,1961,N/A
GTM,1961,N/A
GUM,1961,N/A
GUY,1961,N/A
HKG,1961,N/A
HND,1961,N/A
HRV,1961,N/A
HTI,1961,N/A
HUN,1961,N/A
IDN,1961,N/A
IND,1961,N/A
IRL,1961,N/A
IRN,1961,N/A
IRQ,1961,N/A
ISL,1961,N/A
ISR,1961,N/A
ITA,1961,N/A
JAM,1961,N/A
JOR,1961,N/A
JPN,1961,N/A
KAZ,1961,N/A
KEN,1961,N/A
KGZ,1961,N/A
KHM,1961,N/A
KIR,1961,N/A
KNA,1961,N/A
KOR,1961,N/A
